Module,Interface,LDP table name,Schema URL,Example URL,Dev API URL
mod-inventory-storage,/statistical-codes,inventory_statistical_codes,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/statisticalcode.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/statisticalcodes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/statistical-code.html
mod-invoice-storage,/invoice-storage/invoices,invoice_invoices,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/schemas/invoice.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/examples/invoice.sample,https://s3.amazonaws.com/foliodocs/api/mod-invoice-storage/p/invoice.html
mod-invoice-storage,/invoice-storage/invoice-lines,invoice_lines,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/schemas/invoice_line.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/examples/invoice_line_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-invoice-storage/p/invoice.html
mod-invoice-storage,/voucher-storage/voucher-lines,invoice_voucher_lines,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/schemas/voucher_line.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/examples/voucher_line_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-invoice-storage/p/voucher.html
mod-invoice-storage,/voucher-storage/vouchers,invoice_vouchers,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/schemas/voucher.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-invoice-storage/examples/voucher_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-invoice-storage/p/voucher.html
mod-notes,/notes,notes,https://raw.githubusercontent.com/folio-org/mod-circulation/master/src/test/resources/note-2-0.json,,https://s3.amazonaws.com/foliodocs/api/mod-notes/p/note.html
mod-orders-storage,/orders-storage/acquisition-methods,acquisition_method,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/acquisition_method.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/acquisition_method_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/acquisition_method.html
mod-orders-storage,/acquisitions-units-storage/memberships,acquisitions_memberships,https://raw.githubusercontent.com/folio-org/acq-models/master/acquisitions-unit/schemas/acquisitions_unit_membership.json,https://raw.githubusercontent.com/folio-org/acq-models/master/acquisitions-unit/examples/acquisitions_unit_membership_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/acquisitions-unit.html
mod-orders-storage,/acquisitions-units-storage/units,acquisitions_units,https://raw.githubusercontent.com/folio-org/acq-models/master/acquisitions-unit/schemas/acquisitions_unit.json,https://raw.githubusercontent.com/folio-org/acq-models/master/acquisitions-unit/examples/acquisitions_unit_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/acquisitions-unit.html
mod-orders-storage,/orders-storage/alerts,po_alerts,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/alert.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/alert_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/alert.html
mod-orders-storage,/orders-storage/po-lines,po_lines,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/po_line.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/po_line_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/po-line.html
mod-orders-storage,/orders-storage/order-invoice-relns,po_order_invoice_relns,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/order_invoice_relationship.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/order_invoice_relationship_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/order-invoice-relns.html
mod-orders-storage,/orders-storage/order-templates,po_order_templates,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/order_template.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/order_template_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/order-templates.html
mod-orders-storage,/orders-storage/pieces,po_pieces,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/piece.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/piece_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/pieces.html
mod-orders-storage,/orders-storage/purchase-orders,po_purchase_orders,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/purchase_order.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/purchase_order_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/purchase-order.html
mod-orders-storage,/orders-storage/receiving-history,po_receiving_history,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/receiving_history.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/receiving_history_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/receiving-history.html
mod-orders-storage,/orders-storage/reporting-codes,po_reporting_codes,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/schemas/reporting_code.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orders-storage/examples/reporting_code_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-orders-storage/p/reporting-code.html
mod-organizations-storage,/organizations-storage/addresses,organization_addresses,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/address.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/address_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/address.html
mod-organizations-storage,/organizations-storage/categories,organization_categories,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/category.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/category_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/category.html
mod-organizations-storage,/organizations-storage/contacts,organization_contacts,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/contact.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/contact_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/contact.html
mod-organizations-storage,/organizations-storage/emails,organization_emails,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/email.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/email_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/email.html
mod-organizations-storage,/organizations-storage/interfaces,organization_interfaces,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/interface.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/interface_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/interface.html
mod-organizations-storage,/organizations-storage/organizations,organization_organizations,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/schemas/organization.json,https://raw.githubusercontent.com/folio-org/acq-models/master/mod-orgs/examples/organization_collection.sample,https://s3.amazonaws.com/foliodocs/api/mod-organizations-storage/p/organization.html
